repository,created_at,updated_at,size,num_stars,num_forks
tensorflow/tensorflow,2015-11-07T01:19:20Z,2025-01-24T16:35:51Z,1125797,187413,74446
huggingface/transformers,2018-10-29T13:56:00Z,2025-01-24T16:18:49Z,270127,137971,27660
pytorch/pytorch,2016-08-13T05:26:41Z,2025-01-24T16:33:36Z,1021307,86151,23183
keras-team/keras,2015-03-28T00:35:42Z,2025-01-24T16:34:19Z,44725,62391,19494
scikit-learn/scikit-learn,2010-08-17T09:43:38Z,2025-01-24T16:34:21Z,167090,60857,25538
tesseract-ocr/tesseract,2014-08-12T18:04:59Z,2025-01-24T16:34:10Z,53535,64041,9648
ageitgey/face_recognition,2017-03-03T21:52:39Z,2025-01-24T16:34:32Z,103959,53993,13536
Developer-Y/cs-video-courses,2016-10-21T17:02:11Z,2025-01-24T16:34:13Z,658,67902,9204
deepfakes/faceswap,2017-12-19T09:44:13Z,2025-01-24T16:34:36Z,203576,52957,13287
aymericdamien/TensorFlow-Examples,2015-11-11T14:21:19Z,2025-01-24T16:34:53Z,10242,43480,14924
microsoft/ML-For-Beginners,2021-03-03T01:34:05Z,2025-01-24T16:34:15Z,227858,70797,14904
binhnguyennus/awesome-scalability,2017-12-27T03:46:40Z,2025-01-24T16:42:11Z,1528,60089,6123
JuliaLang/julia,2011-04-21T07:01:50Z,2025-01-24T16:34:41Z,322041,46244,5527
Avik-Jain/100-Days-Of-ML-Code,2018-07-05T09:11:43Z,2025-01-24T16:34:44Z,10955,46205,10740
d2l-ai/d2l-zh,2017-08-23T04:40:24Z,2025-01-24T16:34:12Z,316965,65299,11202
iperov/DeepFaceLab,2018-06-04T13:10:00Z,2025-01-24T14:50:58Z,848594,16842,157
BVLC/caffe,2013-09-12T18:39:48Z,2025-01-23T11:57:34Z,76170,34189,18652
ultralytics/yolov5,2020-05-18T03:45:11Z,2025-01-24T16:34:39Z,16136,52074,16602
GokuMohandas/Made-With-ML,2018-11-05T03:44:27Z,2025-01-24T16:35:07Z,4001,38054,6024
ZuzooVn/machine-learning-for-software-engineers,2016-10-09T21:20:25Z,2025-01-24T00:06:25Z,471,28291,6210
fengdu78/Coursera-ML-AndrewNg-Notes,2017-11-04T10:04:08Z,2025-01-24T13:30:09Z,684224,32637,10705
google-research/google-research,2018-10-04T18:42:48Z,2025-01-24T15:11:17Z,1139197,34741,7993
CMU-Perceptual-Computing-Lab/openpose,2017-04-24T14:06:31Z,2025-01-24T16:10:55Z,86496,31711,7897
ageron/handson-ml,2016-02-16T19:48:39Z,2025-01-24T13:33:20Z,87255,25263,12908
explosion/spaCy,2014-07-03T15:15:40Z,2025-01-24T13:00:22Z,202858,30722,4434
terryum/awesome-deep-learning-papers,2016-06-03T06:48:30Z,2025-01-24T02:40:04Z,147,25633,4478
donnemartin/data-science-ipython-notebooks,2015-01-23T19:38:29Z,2025-01-24T14:08:13Z,49025,27769,7910
dmlc/xgboost,2014-02-06T17:28:03Z,2025-01-24T14:07:57Z,33028,26517,8740
fastai/fastai,2017-09-09T17:43:36Z,2025-01-24T16:27:35Z,822695,26525,7573
photoprism/photoprism,2018-01-27T12:00:15Z,2025-01-24T15:47:15Z,224562,36180,2005
ray-project/ray,2016-10-25T19:38:30Z,2025-01-24T16:03:16Z,495899,35010,5962
eriklindernoren/ML-From-Scratch,2017-02-05T12:11:23Z,2025-01-24T03:46:39Z,553,24215,4614
AMAI-GmbH/AI-Expert-Roadmap,2020-10-24T21:49:40Z,2025-01-24T16:24:17Z,628,29442,2505
eugeneyan/applied-ml,2020-07-04T18:57:47Z,2025-01-24T16:29:43Z,397,27607,3721
sebastianruder/NLP-progress,2018-06-22T17:43:55Z,2025-01-23T13:33:32Z,1399,22762,3617
TheAlgorithms/C-Plus-Plus,2016-07-16T10:19:45Z,2025-01-24T16:29:17Z,129382,31134,7310
streamlit/streamlit,2019-08-24T00:14:52Z,2025-01-24T16:35:11Z,555939,36863,3174
datawhalechina/pumpkin-book,2018-12-22T05:05:24Z,2025-01-24T14:05:45Z,11136,24323,4763
mozilla/DeepSpeech,2016-06-02T15:04:53Z,2025-01-24T06:20:59Z,50592,25643,3992
Lightning-AI/lightning,2019-03-31T00:45:57Z,2025-01-24T14:57:08Z,132824,28845,3420
lutzroeder/netron,2010-12-26T12:53:43Z,2025-01-24T13:58:35Z,60091,29185,2835
mxgmn/WaveFunctionCollapse,2016-09-30T11:53:17Z,2025-01-24T00:11:32Z,31161,23646,1262
trekhleb/homemade-machine-learning,2018-11-01T04:34:19Z,2025-01-24T13:58:42Z,14466,23264,4078
ChristosChristofidis/awesome-deep-learning,2015-01-02T19:28:35Z,2025-01-24T12:42:47Z,832,24666,6088
academic/awesome-datascience,2014-07-05T07:07:43Z,2025-01-24T16:18:20Z,1412,25607,5974
MLEveryday/100-Days-Of-ML-Code,2018-08-05T13:32:48Z,2025-01-24T12:12:15Z,44918,21351,5498
PaddlePaddle/Paddle,2016-08-15T06:59:08Z,2025-01-24T10:26:16Z,484630,22424,5655
google/mediapipe,2019-06-13T19:16:41Z,2025-01-24T16:09:50Z,602710,28358,5226
slundberg/shap,2016-11-22T19:17:08Z,2025-01-24T14:54:26Z,313215,23285,3323
zergtant/pytorch-handbook,2018-12-03T02:57:04Z,2025-01-24T16:15:16Z,149507,20549,5409
microsoft/CNTK,2015-11-26T09:52:06Z,2025-01-24T07:49:11Z,935217,17540,4272
spmallick/learnopencv,2015-02-17T08:00:51Z,2025-01-24T16:31:24Z,3645081,21530,11650
tensorflow/tfjs,2018-03-05T05:41:02Z,2025-01-24T08:04:03Z,173150,18618,1950
OpenBB-finance/OpenBBTerminal,2020-12-20T10:46:38Z,2025-01-24T16:34:05Z,2333975,35578,3235
amark/gun,2014-07-31T15:52:10Z,2025-01-24T13:14:17Z,33395,18263,1167
jina-ai/jina,2020-02-13T17:04:44Z,2025-01-24T08:22:27Z,1681140,21257,2215
fastai/fastbook,2020-02-28T19:26:47Z,2025-01-24T11:44:37Z,86034,22390,8598
JaidedAI/EasyOCR,2020-03-14T11:46:39Z,2025-01-24T16:09:12Z,161624,25288,3225
zziz/pwc,2018-09-02T12:06:52Z,2025-01-20T20:06:03Z,1643,15402,2478
oxford-cs-deepnlp-2017/lectures,2017-02-06T11:32:46Z,2025-01-22T10:35:39Z,48981,15698,3575
d2l-ai/d2l-en,2018-10-09T01:04:37Z,2025-01-24T15:43:17Z,317904,24690,4459
RasaHQ/rasa,2016-10-14T12:27:49Z,2025-01-24T14:25:55Z,1627886,19263,4678
TheAlgorithms/C,2016-07-16T10:17:03Z,2025-01-24T16:29:04Z,20365,19649,4449
kailashahirwar/cheatsheets-ai,2017-05-24T12:06:56Z,2025-01-24T04:46:32Z,29960,15149,3430
microsoft/LightGBM,2016-08-05T05:45:50Z,2025-01-24T06:56:50Z,23576,16901,3847
huggingface/datasets,2020-03-26T09:23:22Z,2025-01-24T14:19:13Z,89072,19484,2722
microsoft/recommenders,2018-09-19T10:06:07Z,2025-01-24T14:26:45Z,229316,19644,3144
ty4z2008/Qix,2014-04-20T11:03:15Z,2025-01-24T07:16:45Z,2333,14771,4657
afshinea/stanford-cs-229-machine-learning,2018-08-04T23:01:00Z,2025-01-24T14:19:43Z,38339,17863,3986
emilwallner/Screenshot-to-code,2017-10-16T11:41:48Z,2025-01-24T01:48:07Z,51643,16465,1563
keon/awesome-nlp,2015-12-01T11:11:33Z,2025-01-24T15:49:57Z,554,16906,2592
RaRe-Technologies/gensim,2011-02-10T07:43:04Z,2025-01-24T13:00:05Z,106262,15799,4387
bharathgs/Awesome-pytorch-list,2017-03-01T16:58:16Z,2025-01-24T14:36:21Z,888,15606,2814
Unity-Technologies/ml-agents,2017-09-08T21:09:04Z,2025-01-24T16:15:09Z,3023163,17496,4194
virgili0/Virgilio,2019-03-12T18:45:36Z,2025-01-23T19:07:12Z,33930,14014,2488
onnx/onnx,2017-09-07T04:53:45Z,2025-01-24T16:29:39Z,35058,18301,3700
ramitsurana/awesome-kubernetes,2015-10-15T12:14:48Z,2025-01-24T15:33:42Z,6844,15196,2290
aleju/imgaug,2015-07-10T20:31:33Z,2025-01-24T12:17:02Z,28618,14497,2451
horovod/horovod,2017-08-09T19:39:59Z,2025-01-23T09:55:58Z,6951,14342,2247
labmlai/annotated_deep_learning_paper_implementations,2020-08-25T02:29:34Z,2025-01-24T16:34:30Z,153812,58212,5928
mlflow/mlflow,2018-06-05T16:05:58Z,2025-01-24T13:17:04Z,712572,19311,4319
tensorflow/tensor2tensor,2017-06-15T16:57:39Z,2025-01-24T14:42:35Z,17508,15756,3528
NLP-LOVE/ML-NLP,2019-07-05T12:49:53Z,2025-01-24T13:39:40Z,11965,16276,4577
hindupuravinash/the-gan-zoo,2017-04-14T16:45:24Z,2025-01-23T18:04:49Z,2198,14420,2560
